# schema_version=growth_dislocation_universe.v2
# SPY holdings=As of 18-Aug-2026; source=https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spy.xlsx
# NDX retrieved_at=2026-08-20; source=https://www.nasdaq.com/products/global-indexes/nasdaq-100/companies
# IWM holdings=Aug 18, 2026; source=https://www.ishares.com/us/products/239710/ishares-russell-2000-etf/latest-holdings.csv
# classification=subindustry unavailable from official holdings; sector used as the explicit crowding fallback
# growth_theme=curated issuer-level optionality taxonomy; blank is not a negative sector judgment
symbol,provider_symbol,company,sector,subindustry,classification_level,sector_benchmark,memberships,growth_theme
ALKS,ALKS,ALKERMES,Health Care,Health Care,sector,XLV,IWM
ALKT,ALKT,ALKAMI TECHNOLOGY,Information Technology,Information Technology,sector,IWM,IWM
ALL,ALL,ALLSTATE CORP,Financials,Financials,sector,XLF,SPY
ALLE,ALLE,ALLEGION PLC,Industrials,Industrials,sector,XLI,SPY
ALLO,ALLO,ALLOGENE THERAPEUTICS,Health Care,Health Care,sector,XLV,IWM
ALMR,ALMR,ALAMAR BIOSCIENCES INC,Health Care,Health Care,sector,XLV,IWM
ALMS,ALMS,ALUMIS,Health Care,Health Care,sector,XLV,IWM
ALMU,ALMU,AELUMA INC,Information Technology,Information Technology,sector,IWM,IWM
ALNT,ALNT,ALLIENT INC,Industrials,Industrials,sector,XLI,IWM
ALNY,ALNY,"Alnylam Pharmaceuticals, Inc. Common Stock",Unknown,Unknown,fallback,QQQ,NDX
ALOY,ALOY,REALLOYS INC,Materials,Materials,sector,XLB,IWM
ALRM,ALRM,ALARM.COM HOLDINGS,Information Technology,Information Technology,sector,IWM,IWM
ALRS,ALRS,ALERUS FINANCIAL CORP,Financials,Financials,sector,XLF,IWM
ALT,ALT,ALTIMMUNE INC,Health Care,Health Care,sector,XLV,IWM
ALTG,ALTG,ALTA EQUIPMENT GROUP INC CLASS A,Industrials,Industrials,sector,XLI,IWM
ALTI,ALTI,ALTI GLOBAL INC CLASS A,Financials,Financials,sector,XLF,IWM
ALTO,ALTO,ALTO INGREDIENTS INC,Materials,Materials,sector,XLB,IWM
ALX,ALX,ALEXANDERS REIT INC,Real Estate,Real Estate,sector,XLRE,IWM
ALXO,ALXO,ALX ONCOLOGY HOLDINGS INC,Health Care,Health Care,sector,XLV,IWM
AMAL,AMAL,AMALGAMATED FINANCIAL CORP,Financials,Financials,sector,XLF,IWM
AMAT,AMAT,APPLIED MATERIALS INC,Technology,Technology,sector,XLK,NDX|SPY
AMBA,AMBA,AMBARELLA,Information Technology,Information Technology,sector,IWM,IWM
AMBP,AMBP,ARDAGH METAL PACKAGING SA,Materials,Materials,sector,XLB,IWM
AMBQ,AMBQ,AMBIQ MICRO,Information Technology,Information Technology,sector,IWM,IWM
AMC,AMC,AMC ENTERTAINMENT HOLDINGS INC CLA,Communication,Communication,sector,XLC,IWM
AMCR,AMCR,AMCOR PLC,Materials,Materials,sector,XLB,SPY
AMCX,AMCX,AMC GLOBAL MEDIA INC CLASS A,Communication,Communication,sector,XLC,IWM
AMD,AMD,ADVANCED MICRO DEVICES,Technology,Technology,sector,XLK,NDX|SPY
AME,AME,AMETEK INC,Industrials,Industrials,sector,XLI,SPY
AMGN,AMGN,AMGEN INC,Health Care,Health Care,sector,XLV,NDX|SPY
AMLX,AMLX,AMYLYX PHARMACEUTICALS,Health Care,Health Care,sector,XLV,IWM
AMN,AMN,AMN HEALTHCARE,Health Care,Health Care,sector,XLV,IWM
AMP,AMP,AMERIPRISE FINANCIAL INC,Financials,Financials,sector,XLF,SPY
AMPH,AMPH,AMPHASTAR PHARMACEUTICALS,Health Care,Health Care,sector,XLV,IWM
AMPL,AMPL,AMPLITUDE CLASS A,Information Technology,Information Technology,sector,IWM,IWM
AMPX,AMPX,AMPRIUS TECHNOLOGIES INC,Industrials,Industrials,sector,XLI,IWM
AMPY,AMPY,AMPLIFY ENERGY,Energy,Energy,sector,XLE,IWM
AMR,AMR,ALPHA METALLURGICAL RESOURCE,Materials,Materials,sector,XLB,IWM
AMRC,AMRC,AMERESCO INC CLASS A,Industrials,Industrials,sector,XLI,IWM
AMRX,AMRX,AMNEAL PHARMACEUTICALS CLASS A,Health Care,Health Care,sector,XLV,IWM
AMSC,AMSC,AMERICAN SUPERCONDUCTOR CORP,Industrials,Industrials,sector,XLI,IWM
AMSF,AMSF,AMERISAFE INC,Financials,Financials,sector,XLF,IWM
AMT,AMT,AMERICAN TOWER CORP,Real Estate,Real Estate,sector,XLRE,SPY
AMTB,AMTB,AMERANT BANCORP CLASS A,Financials,Financials,sector,XLF,IWM
AMTX,AMTX,AEMETIS INC,Energy,Energy,sector,XLE,IWM
AMZN,AMZN,AMAZON.COM INC,Consumer Discretionary,Consumer Discretionary,sector,XLY,NDX|SPY
ANAB,ANAB,ANAPTYSBIO,Health Care,Health Care,sector,XLV,IWM
ANDE,ANDE,ANDERSONS INC,Consumer Staples,Consumer Staples,sector,XLP,IWM
ANET,ANET,ARISTA NETWORKS INC,Technology,Technology,sector,XLK,SPY
ANF,ANF,ABERCROMBIE AND FITCH CLASS A,Consumer Discretionary,Consumer Discretionary,sector,XLY,IWM
ANGI,ANGI,ANGI INC CLASS A,Communication,Communication,sector,XLC,IWM
ANGO,ANGO,ANGIODYNAMICS,Health Care,Health Care,sector,XLV,IWM
ANIK,ANIK,ANIKA THERAPEUTICS INC,Health Care,Health Care,sector,XLV,IWM
ANIP,ANIP,ANI PHARMACEUTICALS,Health Care,Health Care,sector,XLV,IWM
ANNX,ANNX,ANNEXON,Health Care,Health Care,sector,XLV,IWM
